% Train Chromossome - 5 folds
@RELATION cellcycle0.names

@ATTRIBUTE cln3-1 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cln3-2 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE clb2-2 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE alpha0 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE alpha35 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE alpha56 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE alpha70 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE alpha112 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE alpha119 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_30 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_50 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_70 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_80 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_90 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_100 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_120 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_140 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_160 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_180 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_190 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_210 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_220 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_230 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_240 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_250 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_290 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_0 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_40 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_50 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_60 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_70 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_80 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_100 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_110 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_120 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_130 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_150 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_160 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE elu30 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE elu60 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE elu90 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE elu120 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE elu180 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE elu300 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE class {R.11.02.03.01, R.12.04.02, R.01.04, R.43.01.03.09, R.32.01, R.20.01.17, R.12.04.01, R.14.10, R.20.09.07.03, R.16.03.03, R.10.03.01.01.11, R.42.01, R.01.05, R.20.03, R.01.03.01.03, R.10.01.09.05, R.11.02.03.04, R.12.10, R.01.05.25, R.16.19.03, R.11.04.03.01, R.34.11.03.07, R.42.04.05, R.10.01.03.05, R.14.04, R.16.01, R.43.01.03.05, R.42.16, R.12.01.01, R.01.07.01, R.20.09.07, R.32.07, R.01.03.07, R.01.05.02.07, R.01.06, R.20.09.04, R.20.01.13, R.01.06.02.01, R.20.01.27, R.11.06.02, R.14.07.02, R.10.01.05.01, R.20.09.13, R.14.07.02.02, R.01.01.06.06.01.03, R.12.07, R.14.13, R.10.03.01, R.10, R.16.03.01, R.42.04, R.34.01.01.01, R.01.01, R.02.01, R.11, R.20.01.01.01, R.01.05.13.01, R.20.01.03, R.01.20.15, R.11.04.01, R.01.03.01, R.14.07.11, R.20.09.18, R.42.27.03, R.10.03.01.01.09, R.20.01.07, R.42.04.03, R.20.01.15, R.01.01.06.04.02, R.14.07.04, R.20.09.16, R.14.01, R.11.02.03.04.03, R.01.06.06.11, R.14.13.01.01, R.14.07.09, R.10.03.02, R.01.07, R.20.01.10, R.01.02, R.99, R.01.01.06.05, R.32.01.01, R.10.01.05.03, R.10.03.04.03, R.01.01.09.06.01, R.14.13.01, R.01.03.04.03, R.02.13.03, R.01.20.19, R.01.05.09.04, R.11.04.03.05, R.14.07.03, R.10.01.03, R.42.25, R.32, R.14.07.05, R.42.10.03, R.02.19, R.10.01.05.03.01, R.01.03.04, R.20.09.01, R.02.13, R.11.02.03.01.04, R.02.16.01, R.11.04.02, R.12.04.03, R.18.02.01, R.16.19, R.01.06.05, R.12, R.10.03.01.03, R.16.21.07, R.02.10, R.01.01.11.03.01, R.34.01.01.03, R.20.09.07.27, R.12.01, R.42.08, R.10.03.04.05, R.20.03.01.01, R.11.02.03.04.01, R.20.01.23, R.01.01.03.02.01, R.32.01.09, R.34.11.03.13, R.01.04.04, R.14.07, R.14.07.11.01, R.32.01.03, R.01.06.02.02, R.40.01, R.01.01.09.04.01, R.42.19, R.11.04.03, R.01.01.09.07.01, R.01.03.10, R.02.16, R.01.06.06, R.01.02.07, R.01.01.09.05, R.32.07.03, R.20.01.01.01.01, R.34.07.01, R.20.01.21, R.34.01.01, R.01.01.11.04.01, R.20.01.03.01, R.30.01, R.14, R.01.01.13, R.01.01.06.05.01, R.11.02.03.01.01, R.02.04, R.01.01.06.02.01, R.12.04, R.20.01.25, R.38, R.01.01.03.05.01, R.40.10.02.02.01, R.14.07.01, R.01.02.02.09, R.20.09.07.25, R.20.01.01.07.07, R.01.03.16.01, R.40.20, R.10.03.03, R.01.06.10, R.01.03.01.01, R.02.45, R.14.13.04, R.20.01.01.07, R.01.01.06.05.01.01, R.20.09.18.09.01, R.10.01.05, R.01.01.09.02, R.30.01.05.05.01, R.11.04.03.03, R.02.01.03, R.01.01.09.03.01, R.18.02.09, R.42.10, R.20.09.07.05, R.20.01.03.03, R.16.21.17, R.01.03.04.01, R.01.05.06.07, R.11.02.01, R.18.02.01.01.01, R.01.01.03.03.01}

@DATA
8,8,7,5,13,11,7,11,9,12,13,12,12,7,11,9,9,12,10,14,9,10,9,12,4,7,9,11,12,11,11,11,11,14,12,13,13,9,10,18,7,9,13,9,R.20.09.13
7,6,6,6,13,12,7,11,7,10,12,13,11,9,10,9,9,10,9,15,11,8,9,9,12,11,11,10,11,11,11,11,12,15,14,14,14,10,7,16,8,11,11,9,R.42.16
4,6,8,7,11,13,8,11,7,15,16,13,8,9,14,5,7,9,3,15,11,7,9,3,13,12,9,10,9,11,10,10,12,11,11,13,12,8,10,16,12,17,14,9,R.11.04.01
6,8,7,6,11,13,9,6,8,12,14,14,9,10,9,8,8,9,7,15,11,8,11,7,12,11,9,10,12,12,11,12,11,13,11,14,13,9,9,16,10,12,13,8,R.11.04.01
6,8,7,7,12,11,7,11,9,13,14,12,11,8,10,8,8,9,9,16,13,7,7,5,11,10,10,11,11,12,10,12,11,14,13,14,12,11,10,16,10,12,12,9,R.11.04.01
4,7,7,7,11,12,8,10,8,13,14,14,6,10,10,6,10,10,9,17,13,5,3,2,12,10,8,10,11,10,10,11,12,14,11,14,12,10,10,16,8,12,9,10,R.11.04.01
5,8,7,6,13,10,8,11,9,11,14,13,11,9,9,7,8,10,8,15,11,4,9,7,13,12,11,11,11,11,10,10,12,14,11,14,12,10,12,16,8,10,12,10,R.01.04
3,9,8,6,11,13,11,8,8,11,13,12,9,9,11,8,10,11,9,15,10,8,9,9,11,10,8,8,9,10,9,10,13,13,12,14,15,10,11,14,9,8,11,8,R.01.04
7,8,6,6,12,9,6,11,15,11,13,13,12,10,10,8,9,11,10,15,10,7,7,6,10,9,10,12,11,7,12,9,12,10,12,12,14,5,11,16,10,12,13,7,R.01.04
6,8,7,5,9,11,8,6,7,12,13,14,12,10,11,9,9,11,9,14,10,9,7,9,10,8,10,9,11,10,11,11,13,13,11,14,12,8,9,17,11,10,14,9,R.01.04
5,9,7,5,13,11,8,9,8,12,15,11,9,7,10,11,10,11,12,13,9,9,10,9,10,9,8,11,12,9,7,8,13,14,12,15,10,6,9,15,12,13,15,9,R.01.04
4,7,6,6,13,12,7,8,13,12,15,13,10,9,12,8,9,10,9,15,12,7,8,9,11,9,12,10,11,12,11,10,10,11,11,13,12,8,7,15,9,12,11,10,R.10.01.05.01
7,8,6,5,9,10,9,11,6,13,14,12,10,5,10,9,10,10,5,15,10,6,9,7,13,10,10,9,10,11,10,11,12,13,13,13,12,9,8,16,9,10,12,6,R.11.02.03.04
6,6,6,6,13,11,8,9,9,12,13,13,11,8,12,8,11,12,12,14,8,8,11,14,9,8,11,8,11,11,10,11,12,14,13,15,12,10,10,17,11,13,12,9,R.11.02.03.04
6,8,7,6,11,11,8,11,11,12,14,13,11,9,10,8,9,10,8,14,10,8,7,8,11,10,9,9,11,10,10,11,11,14,12,14,13,9,10,15,6,11,12,9,R.11.02.03.04
7,7,8,7,12,10,7,11,7,11,13,13,12,9,13,9,9,11,10,13,9,8,11,10,11,10,11,12,12,9,11,15,11,14,11,13,13,11,10,16,8,9,12,11,R.11.02.03.04
8,8,7,5,11,10,8,11,7,12,13,12,12,8,11,17,8,10,10,14,4,8,9,8,11,9,10,9,12,11,11,10,13,13,11,14,12,8,9,16,9,11,11,10,R.11.02.03.04
6,10,5,5,12,11,8,10,9,11,14,14,8,10,7,5,8,10,6,18,13,4,9,4,14,12,9,12,10,10,10,10,12,14,12,14,12,12,10,15,7,10,10,10,R.11.02.03.04
5,6,6,6,12,11,10,10,5,11,12,10,9,9,15,7,9,9,6,16,12,9,10,8,13,11,11,10,11,9,11,12,12,13,12,14,13,8,9,16,9,13,12,9,R.11.02.03.04
3,8,7,6,8,11,8,11,11,11,13,13,13,9,8,9,10,10,8,15,11,6,13,9,11,10,8,11,8,11,10,9,3,15,11,16,15,14,9,16,10,14,12,9,R.12.01.01
6,7,8,7,11,12,8,8,6,11,12,12,11,8,9,8,9,9,6,15,12,6,8,8,15,13,8,7,10,9,9,11,14,14,12,16,15,12,9,16,7,10,11,11,R.12.01.01
4,7,8,7,10,12,9,10,9,11,13,13,11,9,10,8,10,10,8,14,10,7,10,8,12,10,9,10,8,9,8,8,14,14,11,15,14,10,7,17,9,10,13,10,R.12.01.01
5,8,6,6,13,12,9,9,9,10,12,11,12,8,11,10,10,14,8,15,10,9,16,12,10,9,10,11,13,12,12,13,12,13,12,14,12,9,10,17,10,12,13,9,R.01.05
6,8,7,4,12,12,8,9,9,11,12,11,4,9,10,9,10,11,9,16,11,9,9,9,13,10,10,10,9,9,10,10,12,13,13,14,13,9,13,16,9,2,11,8,R.01.05
9,12,5,7,14,8,5,10,8,9,15,16,15,11,11,6,10,14,12,17,11,4,0,4,10,9,7,12,12,10,8,9,13,15,14,16,13,7,6,14,4,11,16,11,R.01.05
4,8,7,6,12,11,8,9,7,12,12,13,10,8,10,9,9,11,9,14,10,9,8,11,11,10,9,9,10,11,10,11,13,13,11,14,13,7,10,16,9,10,12,9,R.01.05
5,4,7,7,12,10,8,9,9,11,12,10,10,6,9,10,11,11,9,15,7,11,9,13,9,9,11,7,8,10,10,12,13,13,10,14,13,11,10,18,9,10,10,10,R.01.05
5,7,7,7,11,11,8,10,6,10,13,12,12,9,11,9,10,11,8,15,11,6,8,7,12,10,8,7,10,10,9,10,13,13,12,14,14,10,10,16,10,12,13,10,R.34.01.01.01
5,8,9,6,11,13,10,8,5,5,8,10,12,9,11,11,11,13,10,15,12,13,10,13,11,9,8,9,9,9,10,8,14,13,10,15,13,10,9,17,11,13,11,6,R.01.05.02.07
5,7,8,6,12,11,10,10,7,9,11,12,11,8,10,8,10,11,8,14,11,6,12,10,14,12,10,9,10,8,8,12,14,15,13,14,12,12,11,15,8,7,11,8,R.01.05.02.07
5,6,5,5,12,11,8,9,8,10,9,10,4,6,6,10,13,13,9,13,10,11,11,16,15,15,9,8,9,9,9,10,14,15,11,14,13,12,9,17,9,13,12,10,R.43.01.03.09
5,8,8,6,13,11,8,11,8,12,13,12,11,9,9,8,8,9,8,15,10,5,9,8,12,12,13,7,7,9,7,9,12,14,12,14,14,9,10,16,9,12,10,8,R.20.09.01
4,7,6,7,12,13,8,10,9,12,13,12,11,9,11,8,10,9,9,14,11,9,10,8,10,9,9,9,9,10,9,9,12,13,10,13,15,8,10,17,10,13,11,9,R.16.03.01
8,7,7,6,12,12,10,10,9,8,13,13,13,10,10,10,10,11,8,15,8,9,7,9,11,5,8,9,11,11,11,11,12,13,12,14,13,9,10,16,12,12,10,8,R.14.04
8,9,7,5,13,11,8,8,7,9,11,12,13,8,11,8,11,12,11,14,9,11,10,11,10,8,8,9,9,11,10,10,13,14,13,14,12,9,9,17,10,9,13,10,R.14.04
6,7,8,6,11,11,8,11,6,10,12,12,12,8,11,10,11,12,6,13,10,12,9,10,10,9,9,9,10,10,8,10,13,14,11,14,12,11,10,16,6,9,13,10,R.32.01
6,7,8,7,12,11,8,11,5,10,12,13,8,10,8,8,11,10,10,16,13,6,4,11,12,11,8,9,9,9,10,10,12,13,12,14,14,11,10,16,10,11,11,10,R.32.01
4,9,7,6,10,12,9,12,8,10,12,12,8,9,9,7,8,9,7,15,11,8,13,9,15,13,9,9,9,10,9,10,13,14,12,14,13,11,9,16,6,9,9,9,R.43.01.03.05
5,8,6,6,10,11,10,9,8,12,13,12,8,9,8,7,10,10,8,15,11,3,12,8,14,12,11,10,9,9,10,10,12,12,12,14,12,10,11,16,7,8,10,7,R.43.01.03.05
4,8,6,6,12,18,6,9,9,10,11,12,12,8,13,8,12,11,11,12,10,11,12,13,10,8,9,10,10,9,10,10,11,14,12,14,14,8,10,16,10,11,12,10,R.43.01.03.05
8,8,7,6,11,12,12,7,6,12,15,12,12,9,9,9,10,11,8,14,10,7,8,4,12,9,9,11,12,11,11,11,13,14,12,14,13,11,10,16,10,8,11,8,R.43.01.03.05
6,5,8,6,12,11,7,11,7,12,12,12,12,9,13,12,10,11,9,13,10,10,8,10,8,8,10,10,11,10,10,11,12,13,12,14,12,8,10,16,9,11,13,8,R.20.01.01.01
1,2,11,6,2,8,17,4,8,15,7,6,1,4,2,13,15,12,4,12,9,11,9,14,15,14,13,5,7,8,8,9,15,15,13,14,13,11,8,15,7,7,8,9,R.42.01
4,6,9,6,10,9,8,11,8,11,13,11,13,7,11,10,10,11,8,15,9,11,11,10,10,9,15,12,10,10,8,9,10,12,10,14,11,4,11,15,12,10,12,5,R.42.01
6,4,6,6,12,12,8,10,7,10,13,13,10,10,11,8,8,9,8,16,10,6,8,8,14,11,11,8,11,10,9,12,12,14,11,14,11,8,10,15,9,12,13,10,R.42.01
5,9,7,5,13,12,10,7,9,14,15,13,10,9,10,7,9,10,7,15,11,4,11,2,12,10,9,10,11,11,9,11,12,13,11,15,13,8,10,17,10,12,11,9,R.12.04.01
6,6,6,6,15,12,8,11,9,12,12,12,8,8,12,9,10,11,10,14,8,9,8,13,11,9,11,9,9,9,9,11,12,14,12,14,12,9,11,16,8,9,11,10,R.01.06.05
4,5,11,4,4,16,12,12,13,11,7,7,5,10,12,12,10,8,2,14,13,12,11,11,15,9,6,4,7,11,13,15,14,12,10,14,16,12,8,15,9,11,11,9,R.10.03.01
7,8,6,5,13,12,9,8,9,10,13,13,12,9,11,9,10,12,10,16,11,6,11,8,11,8,9,10,13,11,9,11,12,14,13,14,12,8,9,16,8,11,12,10,R.10.03.01
7,5,7,2,2,0,19,7,14,18,11,13,0,6,0,13,18,14,5,9,11,8,11,16,13,8,8,8,10,7,6,10,17,18,12,14,15,11,4,18,1,3,7,13,R.10.03.01
5,8,7,6,12,11,8,10,8,11,12,13,9,8,11,9,11,11,9,14,11,9,13,9,10,11,10,9,10,10,10,11,12,13,12,14,13,10,10,16,9,11,12,9,R.16.01
4,8,7,6,12,11,8,11,9,11,13,12,5,9,9,5,8,9,8,16,12,4,9,7,15,13,8,10,10,10,10,11,13,14,12,14,13,10,9,16,8,11,12,9,R.16.01
